number;designationOfficial;lv95East;lv95North
8570347;Villars-Mendraz, croisée;2545692.0;1166490.0
8570350;Chapelle-sur-Moudon, Mulles;2546422.0;1169347.0
8570351;St-Cierges, La Tondiaz;2546169.0;1170754.0
8570348;Sottens, croisée;2546667.0;1167316.0
8570349;Sottens, Radio;2546291.0;1167534.0
8570352;Thierrens, La Rapaz;2547171.0;1172272.0
8570353;Thierrens, Prouty;2547427.0;1172488.0
8570130;Penthalaz, poste;2530036.0;1162464.0
8570129;Cossonay-Penthalaz, gare;2529881.0;1162027.0
8570173;Peney-le-Jorat, Chalet Renards;2545095.0;1164494.0
8570178;Bottens, croisée;2540360.0;1163133.0
8570179;Bottens, La Rustériaz;2540835.0;1161982.0
8570167;Froideville, village;2541581.0;1161247.0
8570176;Bretigny-sur-Morrens, croisée;2539332.0;1161067.0
8570164;Cugy VD, Le Moulin;2538992.0;1160050.0
8570168;Froideville, croisée;2541825.0;1161390.0
8570169;Froideville, Laiterie;2542060.0;1161375.0
8570174;Peney-le-Jorat, poste;2545490.0;1164895.0
8570175;Villars-Mendraz, Praz-Longet;2545497.0;1166029.0
8570172;Villars-Tiercelin, village;2543822.0;1164005.0
8570393;Moudon, gare;2551294.0;1168719.0
8570420;Servion, poste/croisée;2549588.0;1158205.0
8570421;Servion, Mannessivaz;2549780.0;1159293.0
8570425;Carrouge VD, Croix d'Or;2548345.0;1161045.0
8570419;Les Cullayes, Pra la Tête;2547875.0;1157310.0
8570417;Montpreveyres, village;2546518.0;1159242.0
8570422;Ferlens VD, Le Moulin;2549767.0;1159789.0
8570423;Ferlens VD, Champ des Oches;2549840.0;1160084.0
8570462;Servion, Clos de l'Auberge;2549668.0;1157654.0
8573634;Cugy VD, village;2538831.0;1159667.0
8577645;Cheseaux-sur-L., Martheray;2535497.0;1159275.0
8579233;Ecublens VD, EPFL (bus);2533107.0;1152679.0
8579238;Lausanne, Sallaz;2539205.0;1153810.0
8579239;Epalinges, Croisettes;2540394.49736;1154941.15197
8579237;Lausanne, Ours;2538769.0;1152528.0
8579230;Préverenges, village;2529987.0;1152190.0
8579243;Bressonnaz, village;2550259.0;1166935.0
8579231;St-Sulpice VD, Venoge sud;2531519.0;1151671.0
8579245;Lausanne, Foyer;2540268.0;1153865.0
